epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,918.429,1.5252,3.38796,1.17144,0.52149,0.16956,0.12769,0.07428,1.49155,2.29989,1.15292,0.000132544,0.000132544,0.000132544
2,1852.24,1.48003,2.23844,1.16967,0.51329,0.21409,0.18327,0.10666,1.42885,1.917,1.14258,0.000252717,0.000252717,0.000252717
3,2817.72,1.43464,2.0116,1.1489,0.54143,0.22465,0.19919,0.1178,1.4386,1.92412,1.15145,0.000359689,0.000359689,0.000359689
4,3744.35,1.40585,1.87819,1.14446,0.54662,0.23059,0.23192,0.13546,1.44862,1.76388,1.16312,0.0003406,0.0003406,0.0003406
5,4702.56,1.39491,1.78274,1.13913,0.63174,0.26339,0.26196,0.15852,1.3712,1.69851,1.11602,0.0003208,0.0003208,0.0003208
6,6895.7,1.36268,1.68646,1.12471,0.6034,0.28052,0.2645,0.1561,1.38316,1.57563,1.12365,0.000301,0.000301,0.000301
7,9858.98,1.34697,1.63115,1.11507,0.60999,0.27591,0.27136,0.16003,1.4472,1.64905,1.14749,0.0002812,0.0002812,0.0002812
8,10984.2,1.33776,1.57796,1.10699,0.58822,0.31528,0.29987,0.18231,1.3499,1.5156,1.11317,0.0002614,0.0002614,0.0002614
9,12023.5,1.33258,1.54309,1.10653,0.64,0.29862,0.30439,0.18338,1.37019,1.52755,1.13021,0.0002416,0.0002416,0.0002416
10,13057,1.30744,1.49167,1.09227,0.69619,0.2855,0.31824,0.19052,1.33832,1.45755,1.10734,0.0002218,0.0002218,0.0002218
11,13978.3,1.30771,1.5366,1.08932,0.63975,0.30434,0.30264,0.18321,1.34364,1.52559,1.10621,0.000202,0.000202,0.000202
12,14863.5,1.28181,1.44907,1.07496,0.60645,0.3122,0.31674,0.19192,1.32941,1.45035,1.10653,0.0001822,0.0001822,0.0001822
13,15767.9,1.26995,1.4033,1.06897,0.55657,0.40934,0.36166,0.22518,1.35036,1.41397,1.10746,0.0001624,0.0001624,0.0001624
14,16759.6,1.24827,1.35294,1.05752,0.65246,0.29331,0.32552,0.19705,1.35436,1.39648,1.10891,0.0001426,0.0001426,0.0001426
15,17652.2,1.23768,1.32352,1.05601,0.70445,0.29018,0.3495,0.216,1.3192,1.37785,1.08877,0.0001228,0.0001228,0.0001228
16,19617.8,1.23289,1.29644,1.04928,0.59456,0.36645,0.35359,0.22408,1.30272,1.35267,1.08285,0.000103,0.000103,0.000103
17,21653.7,1.21378,1.26115,1.0448,0.63575,0.33265,0.35466,0.21681,1.34838,1.3603,1.10186,8.32e-05,8.32e-05,8.32e-05
18,23832.8,1.20399,1.23768,1.04106,0.5706,0.40508,0.35698,0.22349,1.29606,1.3199,1.08117,6.34e-05,6.34e-05,6.34e-05
19,27571.1,1.2011,1.22148,1.0338,0.55296,0.38251,0.36677,0.22647,1.29789,1.31429,1.08244,4.36e-05,4.36e-05,4.36e-05
20,28415.3,1.18503,1.20819,1.03277,0.59666,0.36295,0.3667,0.22842,1.29451,1.30858,1.07961,2.38e-05,2.38e-05,2.38e-05
